 Incident particle is a   Muon with M =   105.65839 MeV
 Index =  297:  carbon (gem diamond)
     Absorber with Z =   6,  A = 12.0107(8), density = 3.520 (revised)
 Sternheimer coef:  a     k=m_s   x_0    x_1    I[eV]   Cbar  delta0
                 0.2614  2.8697 -0.1135  2.2458   78.0  2.4271 0.12
 (Restricted energy loss for Tcut = 0.05 MeV
 Table written with (1X, 1P9E10.3,0PF8.4,f8.5,1pE10.3)          post-Born included in pair prod
 *** Results below 10 MeV are not dependable ***
      T         p     Ionization  brems     pair     photonuc  Radloss    dE/dx   CSDA Range  delta   beta   dE/dx_R
    [MeV]    [MeV/c]  -----------------------[MeV cm^2/g]------------------------  [g/cm^2]                [MeV cm^2/g]
  1.200E+00 1.597E+01 3.866E+01 0.000E+00 0.000E+00 5.026E-05 5.026E-05 3.866E+01 6.901E-03  0.0046 0.14944 3.866E+01
  1.400E+00 1.726E+01 3.415E+01 0.000E+00 0.000E+00 5.035E-05 5.035E-05 3.415E+01 1.242E-02  0.0054 0.16119 3.415E+01
  1.700E+00 1.903E+01 2.920E+01 0.000E+00 0.000E+00 5.049E-05 5.049E-05 2.920E+01 2.195E-02  0.0066 0.17725 2.920E+01
  2.000E+00 2.066E+01 2.560E+01 0.000E+00 0.000E+00 5.063E-05 5.063E-05 2.560E+01 3.295E-02  0.0077 0.19186 2.560E+01
  2.500E+00 2.312E+01 2.137E+01 0.000E+00 0.000E+00 5.087E-05 5.087E-05 2.137E+01 5.442E-02  0.0097 0.21376 2.137E+01
  3.000E+00 2.536E+01 1.843E+01 0.000E+00 0.000E+00 5.110E-05 5.110E-05 1.843E+01 7.970E-02  0.0117 0.23336 1.823E+01
  3.500E+00 2.742E+01 1.627E+01 0.000E+00 0.000E+00 5.134E-05 5.134E-05 1.627E+01 1.086E-01  0.0136 0.25120 1.592E+01
  4.000E+00 2.935E+01 1.461E+01 0.000E+00 0.000E+00 5.157E-05 5.157E-05 1.461E+01 1.411E-01  0.0156 0.26763 1.416E+01
  4.500E+00 3.116E+01 1.329E+01 0.000E+00 0.000E+00 5.181E-05 5.181E-05 1.329E+01 1.770E-01  0.0176 0.28290 1.278E+01
  5.000E+00 3.289E+01 1.222E+01 0.000E+00 0.000E+00 5.204E-05 5.204E-05 1.222E+01 2.163E-01  0.0196 0.29720 1.167E+01
  5.500E+00 3.453E+01 1.132E+01 0.000E+00 0.000E+00 5.228E-05 5.228E-05 1.132E+01 2.589E-01  0.0216 0.31066 1.075E+01
  6.000E+00 3.611E+01 1.057E+01 0.000E+00 0.000E+00 5.251E-05 5.251E-05 1.057E+01 3.046E-01  0.0236 0.32339 9.981E+00
  7.000E+00 3.909E+01 9.359E+00 0.000E+00 0.000E+00 5.298E-05 5.298E-05 9.359E+00 4.054E-01  0.0277 0.34700 8.759E+00
  8.000E+00 4.189E+01 8.435E+00 0.000E+00 0.000E+00 5.345E-05 5.345E-05 8.435E+00 5.181E-01  0.0318 0.36854 7.834E+00
  9.000E+00 4.453E+01 7.703E+00 0.000E+00 0.000E+00 5.392E-05 5.392E-05 7.703E+00 6.424E-01  0.0360 0.38836 7.108E+00
  1.000E+01 4.704E+01 7.109E+00 0.000E+00 0.000E+00 5.439E-05 5.439E-05 7.109E+00 7.776E-01  0.0401 0.40675 6.523E+00
  1.200E+01 5.177E+01 6.202E+00 0.000E+00 0.000E+00 5.533E-05 5.533E-05 6.203E+00 1.080E+00  0.0486 0.43998 5.637E+00
  1.400E+01 5.616E+01 5.542E+00 0.000E+00 0.000E+00 5.628E-05 5.628E-05 5.542E+00 1.422E+00  0.0572 0.46937 4.999E+00
  1.700E+01 6.230E+01 4.830E+00 0.000E+00 0.000E+00 5.769E-05 5.769E-05 4.830E+00 2.003E+00  0.0704 0.50792 4.316E+00
  2.000E+01 6.802E+01 4.323E+00 0.000E+00 0.000E+00 5.910E-05 5.910E-05 4.323E+00 2.662E+00  0.0839 0.54129 3.834E+00
  2.500E+01 7.686E+01 3.740E+00 0.000E+00 0.000E+00 6.145E-05 6.145E-05 3.740E+00 3.910E+00  0.1071 0.58827 3.284E+00
  3.000E+01 8.509E+01 3.345E+00 0.000E+00 0.000E+00 6.380E-05 6.380E-05 3.345E+00 5.328E+00  0.1374 0.62720 2.914E+00
  3.500E+01 9.285E+01 3.060E+00 0.000E+00 0.000E+00 6.615E-05 6.615E-05 3.060E+00 6.894E+00  0.1747 0.66011 2.648E+00
  4.000E+01 1.003E+02 2.846E+00 0.000E+00 0.000E+00 6.850E-05 6.850E-05 2.846E+00 8.590E+00  0.2110 0.68834 2.449E+00
  4.500E+01 1.074E+02 2.679E+00 0.000E+00 0.000E+00 7.085E-05 7.085E-05 2.679E+00 1.040E+01  0.2462 0.71286 2.294E+00
  5.000E+01 1.143E+02 2.546E+00 3.987E-07 0.000E+00 7.321E-05 7.360E-05 2.546E+00 1.232E+01  0.2802 0.73434 2.170E+00
  5.500E+01 1.210E+02 2.438E+00 8.883E-07 0.000E+00 7.556E-05 7.645E-05 2.438E+00 1.433E+01  0.3133 0.75332 2.070E+00
  6.000E+01 1.276E+02 2.349E+00 1.392E-06 0.000E+00 7.791E-05 7.930E-05 2.349E+00 1.642E+01  0.3453 0.77019 1.986E+00
  7.000E+01 1.403E+02 2.211E+00 2.443E-06 0.000E+00 8.261E-05 8.505E-05 2.211E+00 2.081E+01  0.4067 0.79887 1.857E+00
  8.000E+01 1.527E+02 2.110E+00 3.547E-06 0.000E+00 8.732E-05 9.086E-05 2.110E+00 2.545E+01  0.4649 0.82227 1.761E+00
  9.000E+01 1.647E+02 2.034E+00 4.701E-06 0.000E+00 9.202E-05 9.672E-05 2.034E+00 3.028E+01  0.5202 0.84166 1.688E+00
  1.000E+02 1.764E+02 1.975E+00 5.904E-06 0.000E+00 9.672E-05 1.026E-04 1.975E+00 3.527E+01  0.5731 0.85794 1.630E+00
  1.200E+02 1.994E+02 1.891E+00 8.443E-06 0.000E+00 1.061E-04 1.146E-04 1.891E+00 4.563E+01  0.6726 0.88361 1.547E+00
  1.400E+02 2.218E+02 1.836E+00 1.115E-05 0.000E+00 1.155E-04 1.267E-04 1.837E+00 5.638E+01  0.7649 0.90278 1.490E+00
  1.700E+02 2.546E+02 1.786E+00 1.549E-05 0.000E+00 1.296E-04 1.451E-04 1.786E+00 7.296E+01  0.8925 0.92363 1.434E+00
  2.000E+02 2.868E+02 1.757E+00 2.014E-05 0.000E+00 1.438E-04 1.639E-04 1.757E+00 8.991E+01  1.0097 0.93835 1.398E+00
  2.500E+02 3.396E+02 1.733E+00 2.849E-05 0.000E+00 1.673E-04 1.958E-04 1.733E+00 1.186E+02  1.1865 0.95485 1.361E+00
  3.000E+02 3.917E+02 1.725E+00 3.751E-05 0.000E+00 1.908E-04 2.283E-04 1.726E+00 1.475E+02  1.3454 0.96548 1.340E+00
  3.182E+02 4.105E+02 1.725E+00 4.710E-05 0.000E+00 2.143E-04 2.614E-04 1.726E+00  Minimum ionization
  3.500E+02 4.432E+02 1.726E+00 4.710E-05 0.000E+00 2.143E-04 2.614E-04 1.726E+00 1.765E+02  1.4900 0.97274 1.327E+00
  4.000E+02 4.945E+02 1.730E+00 5.721E-05 0.000E+00 2.378E-04 2.950E-04 1.730E+00 2.054E+02  1.6231 0.97793 1.319E+00
  4.500E+02 5.455E+02 1.737E+00 6.779E-05 0.000E+00 2.613E-04 3.291E-04 1.737E+00 2.343E+02  1.7465 0.98176 1.314E+00
  5.000E+02 5.964E+02 1.744E+00 7.878E-05 0.000E+00 2.848E-04 3.636E-04 1.745E+00 2.630E+02  1.8617 0.98467 1.311E+00
  5.500E+02 6.471E+02 1.753E+00 9.017E-05 0.000E+00 3.084E-04 3.985E-04 1.753E+00 2.916E+02  1.9699 0.98693 1.309E+00
  6.000E+02 6.977E+02 1.761E+00 1.019E-04 0.000E+00 3.319E-04 4.338E-04 1.762E+00 3.201E+02  2.0718 0.98873 1.308E+00
  7.000E+02 7.987E+02 1.778E+00 1.264E-04 0.000E+00 3.789E-04 5.053E-04 1.779E+00 3.765E+02  2.2600 0.99136 1.307E+00
  8.000E+02 8.995E+02 1.795E+00 1.520E-04 0.000E+00 4.259E-04 5.779E-04 1.795E+00 4.325E+02  2.4305 0.99317 1.307E+00
  9.000E+02 1.000E+03 1.810E+00 1.787E-04 0.000E+00 4.730E-04 6.516E-04 1.811E+00 4.880E+02  2.5868 0.99447 1.308E+00
  1.000E+03 1.101E+03 1.825E+00 2.063E-04 5.414E-06 5.200E-04 7.317E-04 1.825E+00 5.430E+02  2.7310 0.99542 1.309E+00
  1.200E+03 1.301E+03 1.850E+00 2.640E-04 4.302E-05 6.141E-04 9.210E-04 1.851E+00 6.517E+02  2.9904 0.99672 1.311E+00
  1.400E+03 1.502E+03 1.873E+00 3.245E-04 8.582E-05 7.081E-04 1.118E-03 1.874E+00 7.591E+02  3.2189 0.99753 1.313E+00
  1.700E+03 1.803E+03 1.902E+00 4.200E-04 1.583E-04 8.492E-04 1.427E-03 1.904E+00 9.179E+02  3.5183 0.99829 1.316E+00
  2.000E+03 2.103E+03 1.927E+00 5.202E-04 2.392E-04 9.935E-04 1.753E-03 1.929E+00 1.074E+03  3.7782 0.99874 1.319E+00
  2.500E+03 2.604E+03 1.961E+00 6.958E-04 3.896E-04 1.246E-03 2.331E-03 1.963E+00 1.331E+03  4.1480 0.99918 1.322E+00
  3.000E+03 3.104E+03 1.988E+00 8.805E-04 5.564E-04 1.501E-03 2.937E-03 1.991E+00 1.584E+03  4.4604 0.99942 1.324E+00
  3.500E+03 3.604E+03 2.011E+00 1.073E-03 7.368E-04 1.758E-03 3.567E-03 2.015E+00 1.834E+03  4.7311 0.99957 1.326E+00
  4.000E+03 4.104E+03 2.031E+00 1.272E-03 9.289E-04 2.017E-03 4.218E-03 2.035E+00 2.081E+03  4.9702 0.99967 1.327E+00
  4.500E+03 4.604E+03 2.048E+00 1.476E-03 1.131E-03 2.278E-03 4.886E-03 2.053E+00 2.325E+03  5.1843 0.99974 1.328E+00
  5.000E+03 5.105E+03 2.063E+00 1.687E-03 1.346E-03 2.536E-03 5.568E-03 2.068E+00 2.568E+03  5.3782 0.99979 1.329E+00
  5.500E+03 5.605E+03 2.076E+00 1.906E-03 1.578E-03 2.773E-03 6.257E-03 2.083E+00 2.809E+03  5.5554 0.99982 1.330E+00
  6.000E+03 6.105E+03 2.089E+00 2.129E-03 1.820E-03 3.009E-03 6.958E-03 2.096E+00 3.048E+03  5.7187 0.99985 1.330E+00
  7.000E+03 7.105E+03 2.110E+00 2.589E-03 2.326E-03 3.479E-03 8.393E-03 2.118E+00 3.523E+03  6.0109 0.99989 1.331E+00
  8.000E+03 8.105E+03 2.128E+00 3.063E-03 2.860E-03 3.945E-03 9.868E-03 2.138E+00 3.993E+03  6.2670 0.99992 1.331E+00
  9.000E+03 9.105E+03 2.144E+00 3.549E-03 3.417E-03 4.409E-03 1.138E-02 2.155E+00 4.458E+03  6.4947 0.99993 1.332E+00
  1.000E+04 1.011E+04 2.158E+00 4.048E-03 3.998E-03 4.870E-03 1.292E-02 2.171E+00 4.921E+03  6.6998 0.99995 1.332E+00
  1.200E+04 1.211E+04 2.181E+00 5.086E-03 5.252E-03 5.763E-03 1.610E-02 2.197E+00 5.836E+03  7.0574 0.99996 1.332E+00
